nombre,url,direccion,ciudad,provincia,telefono,productos
Farmanet,https://ar.prvademecum.com/laboratorio/farmanet-429/,3 de Febrero 4444,Capital,,4814-7100 Ventas: 0800-DE FARMA (33-32-762),
Pharmatrix,https://ar.prvademecum.com/laboratorio/pharmatrix-224/,Arenales 259,Ramos Mejía,Bs. As.,4656-9400 / 4656-4716,
Provefarma S.A.,https://ar.prvademecum.com/laboratorio/provefarma-737/,Calle 4 e/ 5 y 7,Sauce Viejo,SANTA FE,0342-4995292,
Bausch Lomb,https://ar.prvademecum.com/laboratorio/bausch-lomb-579/,Av. del Libertador 174 Piso 13,Vicente Lopez,Bs. As.,4718-4200 / 4718-4231,ARTELAC; ARTELAC COMPLETE MULTIDOSIS; ARTELAC REBALANCE; ARTELAC SPLASH MULTIDOSIS; ARTELAC ULTRA 4S; BIOTRUE; BIOTRUE SOLUCION MULTIPROPOSITO; DEXAMYTREX; HYALOMB; LOTEMAX; MURO 128 5%; NATURA EXPRESS; OCUVITE ADULT 50+; OCUVITE AREDS 2; QUINOMED DX
Andromaco,https://ar.prvademecum.com/laboratorio/andromaco-10/,Av. Ingeniero Huergo 1145,Capital,,4021-6000,ACIFUSIN; ACIFUSIN B; ACNOXIN; ANDRIODERMA; BETASALIC; BETRIOL; BETRIOL B; CLINAL; CODELASA; DEMACORT; DERALBINE; DERMAGLOS; DERMAGLOS DELICADA FRAGANCIA; DRENIX 100; DRENIX 100 AP
Lesmaher,https://ar.prvademecum.com/laboratorio/lesmaher-1027/,Av. Melián 3608,CABA,,(+5411) 4142-6114,PEINE TIOX NIT; PLAYAL 80
Skinglow,https://ar.prvademecum.com/laboratorio/skinglow-1041/,Timoteo Gordillo 1378,,Capital federal,1169333494,SKINGLOW COLAGENO BEBIBLE; SKINGLOW SELAUT
Jczt,https://ar.prvademecum.com/laboratorio/jczt-1033/,,,,,ON CALL PLUS II
Plastimed,https://ar.prvademecum.com/laboratorio/plastimed-898/,Av.Belgrano 2139,Avellaneda,Bs. As.,4205-6212/6213,
Formulab,https://ar.prvademecum.com/laboratorio/formulab-891/,Av.Ricardo Balbín (Ruta 8) 4333,S. Martín,Bs. As.,54 11 4767-1617/1290,
Ferring,https://ar.prvademecum.com/laboratorio/ferring-405/,Av. del Libertador 350 Piso 6,Vicente Lopez,Bs. As.,4585-8900,DESMOPRESIN; DESMOPRESIN MELT; DURATOCIN; FIRMAGON; GLYPRESSIN; GONAPEPTYL DAILY; MENOPUR; PENTASA; PENTASA 1G / PENTASA 2G; PENTASA 4G; PICOPREP; PROPESS; REKOVELLE; RONTAGEL; TOCOFENO
Fada Pharma,https://ar.prvademecum.com/laboratorio/fada-pharma-113/,Tronador 4890 Piso 11,Capital,,5217-3200,AMINOXIDIN SULBACTAM; AMPICILINA FADA; ANFOTERICINA FADA; ASULBLAN; BENSULF; CLORURO DE CALCIO FADA; COST; CRIMA; DAIV; DASUGLOR 1000; DENPRU; DISGRADON; DUVIG; ENETEGE; EXEMPLA
Gobbi Novag,https://ar.prvademecum.com/laboratorio/gobbi-novag-136/,F. Onsari 498,Wilde,Bs. As.,4207-7332/9260 4206-6456/4589,"ADENOSINA GOBBI; ALGEDOL; ATRACURIUM GOBBI; BRINEURA; BUPIGOBBI; BUPIGOBBI 0,5% HIPERBARICA; CALCINOVAG; CLINDANOVAG; CLITAXEL; DEXMENOVAG; DICLONOVAG; FENTANOVAG; FLUMANOVAG; GOBBIBESTROL; GOBBICAINA 1%"
Drawer,https://ar.prvademecum.com/laboratorio/drawer-95/,Dorrego 127,Quilmes,Bs. As.,4257-5592/5615/6148,ACIDO AMINOCAPROICO DRAWER; ADEENE VITAMINA C DRAWER; ADRENALINA DRAWER; AMICACINA DRAWER; AMPICILINA DRAWER; AMPICILINA SULBACTAM DRAWER; CEFALOTINA DRAWER; CEFAZOLINA DRAWER; CEFTRIAXONA DRAWER; CLINDAMICINA DRAWER; CLONIDINA DRAWER; CLORURO DE POTASIO DRAWER; DEXAMETASONA DRAWER; DIAZEPAM DRAWER; DICLOFENAC DRAWER
Lab Puntanos,https://ar.prvademecum.com/laboratorio/lab-puntanos-829/,Av. Del Fundador S/N,Puente Blanco San Luis,SAN LUIS,(0266)-437501 / 4423920,
Lancaster,https://ar.prvademecum.com/laboratorio/lancaster-1018/,Irala 1593 y A.Palacios,,Capital federal,115263-0470,OMNIPAQUE; VISIPAQUE
Natural Healt,https://ar.prvademecum.com/laboratorio/natural-healt-1038/,Bernardo Ader 3620,Munro,Bs. As.,1156331184,
Savant Consumer,https://ar.prvademecum.com/laboratorio/savant-consumer-914/,Esteban Echeverría 1050 Piso 7,Florida O,Bs. As.,11 4730 4606,ALMAXIMO; ALMAXIMO 36; ALMAXIMO MASTICABLE; AMINOCREM; AMINOCREM CONTORNO DE OJOS; AMINOCREM GM; AMPLUS; AXIV GRIPABEN; AXIV GRIPABEN ALLER; AXIV GRIPABEN CARAMELOS; AXIV GRIPABEN NASAL; AXIV GRIPABEN PLUS; AXIV GRIPABEN T DESCONGESTIVO; AXIV TOSTOP ADULTOS; AXIV TOSTOP COMPLEX
Ima,https://ar.prvademecum.com/laboratorio/ima-921/,Palpa 2862,,Capital federal,11 4551-5109,ACIDO ZOLEDRONICO IMA; AXITIM; AZOPANIM; AZZA; BICALUTAMIDA IMA; BINITIF; BLEOMICINA SULFATO IMA; CARBOPLATINO IMA; CARLFIX; CISPLATINO IMA; DANTROCRIS; DOCETAXEL SOL IMA; DOXORUBICINA IMA; DUTASTIMA; EPIRUBICINA IMA
Olbia Pharma,https://ar.prvademecum.com/laboratorio/olbia-pharma-989/,Hipolito Yrigoyen 8381,L. de Zamora,Bs. As.,1125954812,
Takeda Arg ,https://ar.prvademecum.com/laboratorio/takeda-arg--1001/,Av. del Libertador 7208 Piso 14,,Capital federal,,ADCETRIS; ADVATE; ADYNOVATE; ALUNBRIG; ELAPRASE; ENTYVIO; FEIBA TIM-4; FIRAZYR; FRUZAQLA; HYQVIA; IMMUNATE; IMMUNINE; KIOVIG; LIVTENCITY; MYVITLA
Casasco,https://ar.prvademecum.com/laboratorio/casasco-56/,Carabobo 22,Capital,,4633-3838 4632-5092,ACLUSIN; ACTIVIL; ACTIVIL MASTICABLE; ALAGIN DUO; ALBICAR; ALERCAS; ALERCAS CORT; ALERCAS D; ALGICUR; ALPRAZOL; AMINET; AMOCLAV DUO; AMOCLAV SE; AMPLIAR; AMPLIAR DUO
Gador,https://ar.prvademecum.com/laboratorio/gador-129/,Darwin 429,Capital,,4858-9000,ALLOPURINOL GADOR; ALPLAX; ALPLAX DIGEST; ALPLAX NET; ALZETIX; AMBISOME; AMINOMUX 30-90; ANEBOL; ANELKA; APRIL; APRIL 28; ARKUS; ATENOLOL GADOR; ATUREN; BENLIPID
Abbott Epd,https://ar.prvademecum.com/laboratorio/abbott-epd-1/,Ing. Butty 240 Piso 12,C.A.B.A.,,5776-7200 (Líneas rotativas),BETASERC; BIOGAIA GTI; BIOGAIA PRODT; BIOGAIA PROTECTIS + VIT D; BLOPRESS; COFRON; CONTROLIP; CREON 10000; CREON 25000; CREON 5000; DAYAMINERAL; DEPAKENE; DICETEL; DUSPATALIN; INFLUVAC
Disprofarma,https://ar.prvademecum.com/laboratorio/disprofarma-86/,Av.Castañares 3222,Capital,,6091-4300,
Lafarmen,https://ar.prvademecum.com/laboratorio/lafarmen-438/,,,,(0261) 451-1102/1492,
Trb Pharma,https://ar.prvademecum.com/laboratorio/trb-pharma-293/,Plaza 939,Capital,,4555-3600 (Líneas rotativas),ANFOLIC; ARTRAIT; ARTRAIT SC; ARTRODAR; ARTRODAR GLUCO; ARTROSIL; ARTROSIL CBD; ARTROSIL MAGNESIO; BIOTIC PHARMA; BLASTOP; BLASTOP PREVENT; BLUE-VIT.B12; BREK; BREXELL PLUS; CALCIO CIT
Dermacare,https://ar.prvademecum.com/laboratorio/dermacare-980/,Maipú 509,CABA,Capital federal,43469700,
Vannier Grunent,https://ar.prvademecum.com/laboratorio/vannier-grunent-971/,,,,,BIVALIS; MICROSER ULTRA; TRAMAL; TRAMAL LONG; TRAMAL PLUS
Eurolab,https://ar.prvademecum.com/laboratorio/eurolab-704/,Av. Juan de Garay 3881,Capital,,4926-1649/1672,ANTIOXIDANTE +40 NUTRICEUTIC; ARGININA NUTRICEUTIC; ARTROACTIVE; AZIDAC ENDO SOBRES; AZIDAC FEM; AZIDAC FERTY; AZIDAC PLUS DHA; AZIDAC Q10; CISTIDAC; CISTIDAC MAX; CURCUMA NUTRICEUTIC; DECITON; DOXICLINA; DR. AMIN; EURODAC
Abbott Diabetes,https://ar.prvademecum.com/laboratorio/abbott-diabetes-939/,Ing. Butty 240 Piso 12,C.A.B.A.,,5776-7200 (Líneas rotativas),FREESTYLE LANCETS; FREESTYLE LIBRE 2 LECTOR; FREESTYLE LIBRE 2 PLUS SENSOR; FREESTYLE LIBRE LECTOR; FREESTYLE LIBRE SENSOR; FREESTYLE OPTIUM; FREESTYLE OPTIUM NEO MEDIDOR DE GLUCOSA
Norgreen,https://ar.prvademecum.com/laboratorio/norgreen-577/,Calle 8 Esq. 5,Batán P.Ind. Gral. Savio,Bs. As.,(0223) 4642010/2011,
Sidus,https://ar.prvademecum.com/laboratorio/sidus/lifescan-986/,,,,,
Linfar,https://ar.prvademecum.com/laboratorio/linfar-177/,Emilio Casas Ocampo 2838,Altos de San Martín,CORDOBA,(0351) 481-5786/482-0599,
Drog Hispana,https://ar.prvademecum.com/laboratorio/drog-hispana-692/,Luis Braile 2165,Florencio Varela,Bs. As.,4237-2585,
Jeianell,https://ar.prvademecum.com/laboratorio/jeianell-1032/,Ugarte Manuel 1607 Piso 8°B,,Capital federal,1159966907,
Pretoria S.R.L.,https://ar.prvademecum.com/laboratorio/pretoria-849/,Av. Int. Francisco Rabanal 2543,C.A.B.A.,,4919-0969,ENSUVANZA; IBRUVANZA; NILUVANZA; SUVANCLIB
Monserrat,https://ar.prvademecum.com/laboratorio/monserrat-193/,Virrey Cevallos 1625/7,Capital,,11-3990-9099,ACTIUM; AJOMAST; ALGICLER; ALGICLER FLEX; ALGICLER GEL; AMOXICLER; BECEBUEN COMPUESTO; BECEBUEN GOTAS; BUCOTRICIN CARAMELOS ANTIBIOTICOS; BUCOTRICIN COLUTORIO; CALCUSAN; CALCUSAN BEBE; CALCUSAN SULFADIAZINA; CALCUSAN X; CIPROCLER
Survival,https://ar.prvademecum.com/laboratorio/survival-350/,Castillo 1531,Capital,,4773-8181,
Nutrigenomics,https://ar.prvademecum.com/laboratorio/nutrigenomics-934/,Florida 142 3 D,,Capital federal,5236-0011,
Biol,https://ar.prvademecum.com/laboratorio/biol-35/,José E.Uriburu 153,Capital,,4953-7215/17 4953-6596,ADENOSINA BIOL; ADHESOL; ADRENALINA BIOL; ARGOCIAN; BIASCOR; BIOL PREO; CALMEVA; DIGOXINA BIOL; DITE (EX VACUNA DOBLE ADULTOS BIOL); EFEDRINA BIOL; FERRETAB COMPUESTO; FINESCAR; FRONT 2; FUROSEMIDA BIOL; GASTERINA
Lativ S.A.,https://ar.prvademecum.com/laboratorio/lativ-799/,Pte. Roca 1902,Rosario,SANTA FE,0341-4817745,
S Chobet,https://ar.prvademecum.com/laboratorio/s-chobet-257/,Iberá 5055,Capital,,4545-5454,ALENTAL; AMZIAX CHOBET; BISMUTO CHOBET CON PECTINA; CLOFIBRATE MAGNESICO CHOBET; CREMA DE BISMUTO CHOBET CON PECTINA; INDAPAMIDA CHOBET (DUREMID); LEPTIC CHOBET; LORAZEPAN CHOBET; MENSALGIN; MENSALGIN FORTE; MEPERIDINA (PETIDINA) CHOBET; METACALMANS; NALBUFINA CHOBET; NEOCALMANS; NEOCALMANS IT
Amarin Technol ,https://ar.prvademecum.com/laboratorio/amarin-technol--1022/,Sanchez 2043,,Capital federal,01145886500,LAMUNA
Panalab,https://ar.prvademecum.com/laboratorio/panalab-506/,Av. Del Libertador 6250 Piso 2,Capital,,4117-7700,CAPILEX; CARTREXAN; CLINDACIN; COMBINATER; DERMOTRAT; DETENAGE C ANTIOX BOOSTER; DETENAGE N; DUO CLINDACIN; DUTAPIL; DUTAPIL PLUS; EFICICLINA; ESPONTAL; ESPONTAL DUO; ESPONTAL MAX; FLUTINASE
Oxapharma,https://ar.prvademecum.com/laboratorio/oxapharma-881/,Fragata Heroína 4948,Malvinas Argentinas Grand Bourg,Bs. As.,4463-0608,ADAPNE; ADAPNE DUO; ADAPNE DUO FORTE; AXILAN; AXILAN FORTE; CLINDACUR UNO; CLODEW; DERMACLOB; DIMSA; DUTASINAR; ISOTAN; ISOTAN LIPS; IVIX FIN; IVIX HTA; IVIX LOCION 2%
Jayor,https://ar.prvademecum.com/laboratorio/jayor-953/,Guemes 3937 Piso 8 Of. B,,Capital federal,5353-2130 / 11-4969 2433,INFUKOLL GEL 4%
Bajer,https://ar.prvademecum.com/laboratorio/bajer-23/,A. R. Bufano 1265,Capital,,4582-7920/0748 4581-1837,AULO GELIO REPELENTE; FARM-X CREMA; FARM-X POLVO
Msd Argentina,https://ar.prvademecum.com/laboratorio/msd-argentina-913/,Cazadores de Coquimbo 2841 /57 Piso 4,Munro,,(54-11) 6090 - 7200,BRIDION; CANCIDAS; CUBICIN RT; DELSTRIGO; EMEND; GARDASIL 9; INVANZ; ISENTRESS; ISENTRESS 600; JANUMET; JANUVIA; KEYTRUDA; KEYTRUDA SC; M-M-R II; NOXAFIL
Drog Farmaquio,https://ar.prvademecum.com/laboratorio/drog-farmaquio-1009/,Depósito: Centenario 2751 Ex 1271,Quilmes,Bs. As.,011-4275-0499,PROMISEMED; VIVACHEK INO; VIVACHEK INO SOUND
Bagó S.A. (Dist. DISPROFARMA),https://ar.prvademecum.com/laboratorio/bago-22/,Bernardo de Irigoyen 248,Capital,,4344-2000,ACTINERVAL; ACTUAL; AKINETON; ALFAXIN 100; ALFAXIN 50; ANAFLEX 500; ANAFLEX FORTE; ANAFLEX PLUS RAPIDA ACCION LIB; ANGIOVEZ; ARTINOVO; AZECAR; BACTICEL; BAGO + ACTIVAMENTE; BAGO + CALMA; BAGO + DESCANSO
Scott Cassara,https://ar.prvademecum.com/laboratorio/scott-cassara-447/,Gaona 4302,Capital,,4672-5999/9118/9300,"BUPICAINA 0,50%; BUPICAINA HIPERBARICA; DOBUCARD; DORMID; ISOFLURANE; ISOPROTERENOL; LIDOCAINA; LIDOCAINA 10% SPRAY; LIDOCAINA 4% SOLUCION TOPICA; LIDOCAINA AL 2% JALEA; LIDOCAINA VISCOSA; NARXONA; NITROPRUS; OCYTOCIN; PANCURON"
Coloplast,https://ar.prvademecum.com/laboratorio/coloplast-524/,Hipólito Bouchard 547 Piso 8,Capital,,3985-5902,
LDA S.A.,https://ar.prvademecum.com/laboratorio/lda-332/,Alcaraz 5294,Capital,,4567-7140 4639-9208,
Abbvie,https://ar.prvademecum.com/laboratorio/abbvie-936/,Ing. Butty 240 Piso 13,C.A.B.A.,,5282 7200,ACULAR; ACULAR LS; ALPHAGAN; ALPHAGAN P; AQUIPTA; BOTOX; COMBIGAN; ELAHERE; EPKINLY; GANFORT; GANFORT UD; HUMIRA AC; KALETRA; LATISSE TM; LUMIGAN
Montpellier,https://ar.prvademecum.com/laboratorio/montpellier-195/,Virrey Liniers 673,Capital,,4127-0000 (Líneas rotativas),AGIRAX; ALERPRIV; ALERPRIV D; ALERVITAN; ASMAVITAN; BACTICORT; BACTICORT COMPLEX; BACTIFREN 500; BACTIFREN 750; CADILER; CARBOGASOL; CARBOGASOL FORTE; CIARAN; CIMZIA; CLARIMAX 125
Framingham,https://ar.prvademecum.com/laboratorio/framingham-281/,Agüero 363,C.A.B.A.,,4867-6767/3386 4861-6807,"ACTIVAMENT 5HTP; AMINOGLU GLUTAMINA PURA; AMPK; AMPK BATIDO PROTEICO LISTO; AMPK CREATINA HCL ORIGINAL; AMPK NUTRI VEGAN PROTEIN; AMPK SPORT CREATINA; AMPK VEGAN PROTEIN; BENELTA FLEX; CAPSKRILL; CRUJINAT BITE PROTEIN; DAOZIMA; DIGECAPS; E-FOLIC B6, B12; FENILUP"
B Braun,https://ar.prvademecum.com/laboratorio/b-braun-498/,J. E. Uriburu 663 Pso. 5,Capital,,4954-2030,
Pint Pharma,https://ar.prvademecum.com/laboratorio/pint-pharma-608/,Santa Rosa 3803,Florida Oeste,Bs. As.,4730-2539,BELEODAQ; BESREMI; EMPAVELI; GALAFOLD; NERLYNX; ORLADEYO
Sant Gall,https://ar.prvademecum.com/laboratorio/sant-gall-266/,Av. Brasil 3131/3,Capital,,4943-0729/2494,AMOXICILINA SANT GALL FRIBURG; AZITROGAL; CEFALEXINA SANT GALL FRIBURG; CIPROFLOXACINA SANT GALL; FERROGAL; FERROGALFOL; FRIFLOXACINA SANT GALL; GALCICLINA SANT GALL; GALFEROL 2400; GALFEROL 400; GALFOL 1; GALFOL 10; GALFOL 5; GALLCORT; IBUPROFENO SANT GALL FRIBURG
Techsphere,https://ar.prvademecum.com/laboratorio/techsphere-795/,Av. Bernardino Rivadavia 843,Avellaneda,Bs. As.,4368-0012/13/25/26,ANASTROZOL TECHSPHERE; BICALUTAMIDA TECHSPHERE; CAPECITABINA TECHSPHERE; CIPROTERONA TECHSPHERE; ENZYBAR; ISOSORBIDE 5-MONONITRATO TECHSPHERE; LETROZOL TECHSPHERE; LOSARTAN TECHSPHERE; PACLITAXEL TECHSPHERE; TEPENAC
Medisol,https://ar.prvademecum.com/laboratorio/medisol-770/,Carhué 1096,,Capital federal,4641-5404/0505/5362 4642-7409,ACIMED; AEROTROP NEBU; AEROVENT; AEROVENT E; AMOXOL; BETACORT CASSARA; BETACORT INY CASSARA; BETACORT PLUS; CEFADROX; CEFADUO; CERUMEX; CLAMOXOL DUO COMPRIMIDOS; CRONOBETACORT; DITRAL; EUMICEL
Dalon Perello,https://ar.prvademecum.com/laboratorio/dalon-perello-932/,Senillosa 1602,,Capital federal,15 3675 7272,
Lafedar,https://ar.prvademecum.com/laboratorio/lafedar-434/,Valentín Torrá 4880,Paraná,ENTRE RIOS,0343-4362286 (Líneas rotativas),ABIRATERON-A; ADECONCE; ANALGINA; ARATOPIC; ARZOMICIN; ATTENUAT CLA; AZIMICINA; B-CAVIR 0.5MG; B-JEN; B-JEN 5%; BAZAM; BETAMAT; BETAMAT RETARD; BIOFTAL; BLOCAMINE
Bina Pharma,https://ar.prvademecum.com/laboratorio/bina-pharma-999/,Calle 55 (ex Otto Bemberg) 4410 Pque.Ind.Hudson,Berazategui,Bs. As.,1553409099,
Richet S.A.,https://ar.prvademecum.com/laboratorio/richet-244/,Tres Arroyos 1829,Capital,,5129-5555,ACIDO ZOLEDRONICO RICHET; ALPROSTADIL RICHET; AMIKACINA RICHET; AMLODIPINA RICHET; AMOXICILINA CLAVULANICO 7:1 RICHET; AMOXICILINA CLAVULANICO FORTE RICHET; AMOXICILINA CLAVULANICO RICHET; AMOXICILINA CLAVULANICO RICHET 1000MG; AMOXICILINA RICHET; AMOXICILINA RICHET DUO; AMOXICILINA SULBACTAM RICHET; AMPICILINA RICHET; ANFOTERICINA RICHET; ATORVASTATIN CALCICO RICHET; ATORVASTATIN RICHET
Savant Generic,https://ar.prvademecum.com/laboratorio/savant-generic-990/,Esteban Echeverría 1050 Piso 7,Florida O,Bs. As.,11 4730 4606,ATIBAX; BUTEFINA; BUTEFINA DUO; CARTIATO; CIPROCORT; DAZOMET; DAZOMET AP; DUPRAC; FABAMOX; FABAMOX DUO; FABAMOX DUO 1G; FABAMOX DUO SUSPENSION; FABAMOX PLUS; FABOTOP DUO; FIEBROLEX 2%
Drog Meta,https://ar.prvademecum.com/laboratorio/drog-meta-818/,Av. Mitre 3690,Munro,Bs. As.,4006-6382,
Pfizer,https://ar.prvademecum.com/laboratorio/pfizer-221/,Colectora Panamericana 1804 1°P Sector B,Villa Adelina,Bs. As.,4788-7000,ABRILADA; ABRYSVO; ALDACTONE A; ALDACTONE D; ALDACTONE D 25/20; AROMASIN; BENEFIX; BESPONSA; BOSULIF; BRAFTOVI; CABASER; CIBINQO; DALACIN C 300; DEPO-PROVERA; DIABINESE
Celtyc SA,https://ar.prvademecum.com/laboratorio/celtyc-1000/,Guardia Vieja 996,Hurlingham,Bs. As.,54 11 3989 8200,AGUA PARA INYECTABLE CELTYC; CEFEPIME CELTYC; CLORURO DE POTASIO; COLISTINA CELTYC; DEXAMETASONA CELTYC; DICLOFENAC CELTYC; ENOXAPARINA CELTYC; FENTANILO CELTYC; FLUMAZENIL CELTYC; FUROSEMIDA CELTYC; HEPARINA CELTYC; HIDROCORTISONA CELTYC; HIOSCINA CELTYC; IMIPENEM CELTYC; KETOROLAC CELTYC
Nestle,https://ar.prvademecum.com/laboratorio/nestle-200/,Av. Del Libertador 1855,Vicente López,Bs. As.,4329-8100/8228,ALFAMINO; ALFARE; ASCENDA; GERBER; GERBER NUTRISNACK; NAN 1 OPTIPRO; NAN 2 OPTIPRO; NAN 3 OPTIPRO; NAN ALFARE; NAN AR; NAN COMFORT; NAN H.A.; NAN SIN LACTOSA NF; NANCARE COMFORT; NANCARE PROTECT
Bayer,https://ar.prvademecum.com/laboratorio/bayer-267/,Ricardo Gutiérrez 3652,Munro,Bs. As.,4762-7000,ACTRON 600 RAPIDA ACCION; ACTRON 600 RAPIDA ACCION NUEVA FORMULA; ACTRON FLEX; ACTRON GEL; ACTRON MIGRA RAPIDA ACCION; ACTRON MUJER RAPIDA ACCION; ACTRON PEDIATRICO; ACTRON PEDIATRICO 4%; ACTRON PLUS; ACTRON RAPIDA ACCION; ACTRON RAPIDA ACCION NUEVA FORMULA; ADEMPAS; ASPIRINA PREVENT 100; ASPIRINETAS; AVELOX
Fabop S.A.,https://ar.prvademecum.com/laboratorio/fabop-569/,Ruta Nacional Nro. 19 Km. 204,El Tío,CORDOBA,(03576) 491346 (Líneas rotativas),
Duncan S.A.,https://ar.prvademecum.com/laboratorio/duncan-99/,Tronador 543,Capital,,4514-6820/26,ABLOOM; ADRENALINA BIOQUIM; ATARVA; ATROPINA SULFATO BIOQUIM; BIO TARBUN; BLAMY; CAFEINA BIOQUIM; CALCIO GLUCONATO BIOQUIM; CEPLENE PLUS; CIPROFLOXACINA DUNCAN; CLEARSING; CLONIXINATO DE LISINA; CLORPROMAZINA DUNCAN; CURINFLAM; CURINFLAM A.P.
Gsk Biopharma,https://ar.prvademecum.com/laboratorio/gsk-biopharma-1010/,Av. del Libertador 7202 Piso 4,,Capital federal,,3TC; 3TC COMPLEX; ALENYS; ANORO; AREXVY; AROPAX; AVODART; BENLYSTA; BETNOVATE; BETNOVATE CAPILAR; BETNOVATE N; BEXSERO; BUSTRIX; CELSENTRI; DARAPRIM
Iraola,https://ar.prvademecum.com/laboratorio/iraola-901/,Viamonte 2146 Piso 7,,Capital federal,(011) 4952-9800,AMUCHINA 100%; METFORMINA IRAOLA
B Life,https://ar.prvademecum.com/laboratorio/b-life-929/,Cochabamba 3643,,Capital federal,011 4957 6764 / 011 4932 4816,
Garden House Ar,https://ar.prvademecum.com/laboratorio/garden-house-ar-442/,Av. Alvarez Jonte 4029,,Capital federal,4568-2591/4568-2874,
Adium,https://ar.prvademecum.com/laboratorio/adium-240/,Int. Cnel. Amaro Avalos 2826 Ed. I Piso 3,Munro,Bs. As.,4509-7100,AEROTINA; AEROTINA PEDIATRICO; ALPERTAN; ALPERTAN D; APATRIX; ARIZIC; ASOTERON; ASOTREX; ASOTREX GL; ATENIX; AZATIOPRINA RAFFO; BEMPENAL; BEMPEZET; BREMIDAN; BRIVAXON
Calihepat,https://ar.prvademecum.com/laboratorio/calihepat-1031/,Suipacha 781,Rosario,SANTA FE,+5493416204408,
Eurofarma Arg ,https://ar.prvademecum.com/laboratorio/eurofarma-arg--37/,Av. San Martín 4550,La Tablada,Bs. As.,4003-6406,ACLOSAN; ACTISON; AFIANCEN; ALTERPURE; BETINA; BUDESON NEBU; BUP XL; CARTAN; CARTAN D; COLIFILM; COLONIL; COLOXIMINA; CORRETAL; DECNOV; DEMPI
Mr Pharma,https://ar.prvademecum.com/laboratorio/mr-pharma-985/,Estados Unidos 5105,Malvinas Argentinas,Bs. As.,(03327) 44-5858,ATRIMON; REMICIT; UNIMEX
Dallas,https://ar.prvademecum.com/laboratorio/dallas-75/,Uriarte 2121 /23,Capital,,4773-2791/2792 4774-6616/7472,CABAL; PROETZONIDE NEBU; PROETZTOTAL; SINCERUM; SINCERUM BIOTIC; SINCERUM BIOTIC L; SINCERUM DRY; VILTAR
Novo Nordisk,https://ar.prvademecum.com/laboratorio/novo-nordisk-484/,Av. Del Libertador 350,V. Lopez,Bs. As.,+54 11 5198 6686 - Servicio At.al Cte. 0-800-345-6686 (NOVO),AGUJAS NOVOFINE 30G; AGUJAS NOVOFINE 32G; AGUJAS NOVOFINE 32G TIP; ALHEMO; ESPEROCT; GLUCAGEN HYPOKIT; INSULINA FIASP; INSULINA HUMANA NOVOLIN N; INSULINA HUMANA NOVOLIN R; INSULINA INSULATARD FLEXPEN UI; INSULINA INSULATARD HM; INSULINA NOVOMIX 30 FLEXPEN; INSULINA NOVORAPID FLEXPEN; INSULINA NOVORAPID FLEXPEN UI; INSULINA NOVORAPID PENFILL
Nutricia Bago,https://ar.prvademecum.com/laboratorio/nutricia-bago-582/,Moreno 877 Piso 5,Capital,,5354-5400,BIFIDOSA; CUBITAN; DIASIP; FORTINI COMPACT MULTIFIBRE; FORTINI PLUS; FORTISIP; FORTISIP ADVANCED VAINILLA; FORTISIP COMPACT; FORTISIP COMPACT PROTEIN; FORTISIP MAX; FORTISIP STANDARD; INFATRINI; INFATRINI LIQUIDO; KAS 1000; LP-DRINK
Dicofar S.R.L.,https://ar.prvademecum.com/laboratorio/dicofar-660/,Fray Cayetano Rodríguez 3520,Ciudadela,Bs. As.,4667-7910,
Dr.Lazar & Cía. S.A.,https://ar.prvademecum.com/laboratorio/lazar-171/,Av. Vélez Sársfield 5855,Carapachay,Bs. As.,5550-2900/49,ACTEMIN; ADIUVAN; ADIUVAN MET; ALERFEDINE; ALERFEDINE D; ALERFEDINE SUSPENSION; ALIN; ALZEPRAL V.L.; ANIL; ANTITROM; ARZIMOL; ARZIMOL B; ASTENDE; ATARAXONE; BACTOCILINA
Rominafort,https://ar.prvademecum.com/laboratorio/rominafort-819/,Av.Monroe 5471,Capital,,011-4524-3200,
Valuge,https://ar.prvademecum.com/laboratorio/valuge-629/,Los Crisantemos (Ayres Vila) 392 Ed.Skyglass 3,Pilar (km 43.5),Bs. As.,(11) 3986-0439 / 3986-0440 / 3986-0441,
NORT,https://ar.prvademecum.com/laboratorio/nort-663/,Cerviño 4671 Piso 4º C,Capital,,4773-8985 / 6771-6678,BABA DE CARACOL CON CREMA DE ORDEÑE NORT; CENTELLA ASIATICA + CAFEINA + B.CARACOL; CREMA DE ORDEÑE NORT; EMULSION MILK NORT; KARITENA; POST SOLAR GEL REFRESCANTE NORT
Cevallos,https://ar.prvademecum.com/laboratorio/cevallos-560/,Manuela Pedraza 4496,C.A.B.A.,,5353-9881 (Líneas rotativas),
Rivero,https://ar.prvademecum.com/laboratorio/rivero-249/,Av. Boyacá 419,Capital,,4632-8710 4631-4824,ALGLUTAMIN; CIPROFLOXACINA RIVERO; CISTEINA RIVERO; DANFERANE I.V.; DEXIVEN; DEXMETIN; DIBIONAL; DIXAFER I.V.; DIXIDROL; FLUCONAZOL RIVERO 200; GREPIFLOX IV PREMIX; HESSICO; LITRECAN; METRONIDAZOL RIVERO 500; NIGLINAR
Addvance,https://ar.prvademecum.com/laboratorio/addvance-1028/,Madre Teresa de Calcuta 1050,Sunchales,SANTA FE,03493 661425,
